gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,0,0.01388888889,0,0,2,0,1,0,0,0,0,0,1,0,0.1154228856,0.003437039425,0
1,0,0,0,0.4722222222,1,0,2,1,0,1,0,0,0,1,0,1,0.3850746269,0.2175640199,0
1,0,0,0,0.02777777778,1,0,2,1,1,0,0,0,0,0,1,1,0.3542288557,0.01245279108,1
1,0,0,0,0.625,0,0,2,1,0,1,1,0,0,1,0,2,0.2393034826,0.2119507646,0
0,0,0,0,0.02777777778,1,0,1,0,0,0,0,0,0,0,1,0,0.5218905473,0.017461542,1
0,0,0,0,0.1111111111,1,1,1,0,0,1,0,1,1,0,1,0,0.8099502488,0.09447540531,1
1,0,0,1,0.3055555556,1,1,1,0,1,0,0,1,0,0,1,3,0.7049751244,0.2244611275,0
0,0,0,0,0.1388888889,0,0,2,1,0,0,0,0,0,0,0,1,0.1144278607,0.03476188283,0
0,0,1,0,0.3888888889,1,1,1,0,0,1,1,1,1,0,1,0,0.8611940299,0.3507334654,1
1,0,0,1,0.8611111111,1,0,2,1,1,0,0,0,0,1,0,2,0.3771144279,0.4016154661,0
1,0,1,1,0.1805555556,1,0,2,1,0,0,0,0,0,0,1,1,0.3154228856,0.06764116618,0
1,0,0,0,0.2222222222,1,0,0,0,0,0,0,0,0,2,0,3,0.006965174129,0.03762896094,0
1,0,1,0,0.8055555556,1,1,1,0,0,1,0,1,1,1,0,3,0.8169154229,0.6541428703,0
1,0,0,0,0.6805555556,1,1,1,0,1,1,0,1,1,0,1,2,0.8502487562,0.579898213,1
1,0,0,0,0.3472222222,1,0,1,1,0,1,1,1,1,0,1,0,0.868159204,0.3092817336,0
0,0,1,1,0.9583333333,1,1,1,1,1,1,1,1,1,2,0,3,0.9452736318,0.9090767778,0
0,0,0,0,0.7222222222,1,0,0,0,0,0,0,0,0,1,0,1,0.02388059701,0.1177862472,0
1,0,0,1,0.9861111111,1,1,1,1,0,1,0,1,1,2,0,2,0.8800995025,0.8500195744,0
0,0,1,1,0.1388888889,1,0,2,0,0,1,1,0,0,0,0,3,0.3676616915,0.06083617354,1
0,0,0,0,0.2916666667,1,0,1,0,1,1,0,0,1,0,1,0,0.7144278607,0.2145011975,0
1,1,0,0,0.01388888889,0,0,2,0,0,1,0,0,1,0,1,0,0.2129353234,0.004565447679,1
1,0,1,0,0.1666666667,1,0,0,0,0,0,0,0,0,1,0,2,0.01542288557,0.02328781319,0
1,0,0,0,0.01388888889,1,0,0,0,0,0,0,0,0,0,0,1,0.01890547264,0.002320145542,1
0,0,1,0,0.8055555556,1,1,2,0,1,0,1,0,0,2,1,3,0.4144278607,0.4035901805,0
1,0,1,1,0.6805555556,1,0,2,1,1,0,1,0,0,0,0,3,0.4114427861,0.3420113301,0
0,0,0,0,0.4166666667,1,0,2,1,1,0,0,0,0,0,1,2,0.3686567164,0.1762389462,0
1,0,1,1,0.6527777778,1,1,1,0,1,0,0,1,1,0,1,0,0.8069651741,0.5468346997,1
1,0,1,1,0.01388888889,0,0,2,0,1,0,0,0,0,0,0,0,0.1189054726,0.00347733972,1
1,0,1,0,1,1,1,2,1,1,1,1,1,1,2,1,3,0.7164179104,0.7334020357,0
0,0,0,1,0.2361111111,1,0,2,0,0,0,0,1,1,0,1,1,0.4621890547,0.1258635777,1
0,1,1,0,0.9861111111,1,1,1,1,1,1,1,0,0,2,1,3,0.7771144279,0.7791716562,0
1,1,1,0,0.02777777778,1,0,1,0,0,1,0,1,1,0,1,3,0.7686567164,0.02091585298,0
0,0,1,1,0.375,1,0,2,1,1,1,1,0,0,1,0,1,0.4766169154,0.2158311072,0
1,0,0,0,0.01388888889,1,0,0,0,0,0,0,0,0,0,0,2,0.01940298507,0.002325902727,0
1,1,0,0,0.01388888889,1,0,2,0,0,0,0,0,0,0,0,2,0.2686567164,0.005210252395,0
0,0,1,1,1,1,1,1,1,1,0,1,1,0,2,0,2,0.8124378109,0.8349875645,0
1,0,0,0,0.06944444444,1,0,1,0,0,0,0,0,0,0,1,0,0.5119402985,0.03648903832,1
0,0,0,0,0.6388888889,1,0,1,0,0,1,0,0,0,0,1,3,0.5626865672,0.4085643884,0
1,0,0,0,0.4722222222,1,1,1,0,1,1,0,1,1,0,1,0,0.8766169154,0.4086737749,1
0,0,0,0,0.1527777778,1,1,1,0,0,1,0,1,1,0,1,2,0.792039801,0.1272798452,1
1,0,1,1,0.1388888889,1,0,2,0,1,0,0,0,0,1,0,1,0.3114427861,0.05477385777,0
0,0,1,1,0.9722222222,1,1,2,1,1,0,0,1,0,2,1,3,0.5069651741,0.5610204035,0
0,0,1,1,0.2361111111,1,0,0,0,0,0,0,0,0,1,0,1,0.02487562189,0.04815885225,0
0,0,0,0,0.875,1,1,2,1,1,1,1,1,0,2,1,3,0.6129353234,0.5597653371,0
0,0,1,0,0.1805555556,1,1,2,1,1,0,1,1,0,0,1,0,0.5766169154,0.1130077837,0
0,0,0,0,0.6805555556,1,1,1,0,0,0,0,0,1,0,1,0,0.6592039801,0.4498318902,0
1,0,0,0,0.02777777778,1,0,2,0,1,0,0,0,0,0,0,1,0.3084577114,0.01116893884,0
0,0,0,0,0.02777777778,1,0,1,0,0,0,0,1,0,0,1,0,0.6208955224,0.01659796426,1
1,0,0,0,0.7222222222,1,1,2,1,0,0,1,1,1,2,1,3,0.6119402985,0.4856530951,0
0,0,1,1,0.9583333333,1,1,2,1,0,1,1,0,0,2,1,3,0.4567164179,0.4898328113,0
0,1,0,0,0.5972222222,1,1,1,0,1,0,0,1,0,0,1,0,0.7164179104,0.4420078758,0
0,0,0,0,0.2083333333,1,0,1,1,1,0,0,1,1,0,1,3,0.8044776119,0.1642409727,1
0,1,1,0,0.3472222222,1,1,2,1,0,0,1,1,0,0,1,3,0.5099502488,0.2018066046,0
0,1,1,0,0.1111111111,1,1,1,0,1,0,0,0,0,0,1,3,0.6208955224,0.07292050479,1
0,1,1,1,0.8333333333,1,0,2,1,1,1,1,0,1,1,1,3,0.5631840796,0.5131206245,0
1,1,0,0,0.25,1,1,1,0,0,0,0,1,1,0,1,0,0.768159204,0.2017950903,1
0,0,1,1,0.875,1,1,1,1,0,0,0,1,1,1,1,3,0.8099502488,0.7266949153,0
1,1,1,1,0.9166666667,1,1,1,0,1,1,1,1,1,1,1,0,0.8975124378,0.8147971168,0
0,0,1,1,0.4722222222,1,1,0,0,0,0,0,0,0,2,0,3,0.06666666667,0.1029730103,0
0,0,0,0,1,1,1,1,0,0,1,1,1,1,2,1,3,0.8880597015,0.9043040715,0
0,0,1,0,0.6527777778,1,1,1,0,0,1,0,1,1,0,1,0,0.8184079602,0.5419929071,0
1,0,0,0,0.8333333333,1,1,1,0,1,0,0,1,0,0,1,2,0.7129353234,0.627613762,0
1,0,1,0,1,0,0,2,1,1,1,0,0,0,2,0,2,0.2373134328,0.3410556374,0
0,0,1,1,0.25,1,0,2,0,0,1,1,0,0,1,1,3,0.3597014925,0.1102040346,0
0,0,0,0,0.125,1,1,1,0,0,0,0,1,1,0,0,0,0.7577114428,0.09870693626,1
0,0,0,0,0.04166666667,1,0,2,0,1,0,1,1,1,0,1,0,0.5676616915,0.02810657701,0
1,0,1,0,0.6527777778,1,1,1,0,1,0,0,0,0,1,1,0,0.6034825871,0.4203148029,0
0,0,0,0,0.4305555556,1,0,2,0,1,1,1,1,1,2,0,1,0.6064676617,0.287536846,0
0,0,1,1,0.6944444444,1,0,0,0,0,0,0,0,0,2,0,2,0.01890547264,0.1071872697,0
1,0,0,0,0.1388888889,1,0,1,1,0,1,0,0,0,0,1,1,0.6129353234,0.1021727616,0
1,0,0,0,0.01388888889,1,0,2,0,0,0,1,0,0,0,0,1,0.3064676617,0.005647798452,0
0,0,1,1,0.7222222222,1,0,0,0,0,0,0,0,0,1,1,0,0.02139303483,0.1255814757,0
1,1,1,1,0.8888888889,1,1,1,1,0,1,1,1,1,2,1,2,0.9288557214,0.8174051216,0
1,0,1,1,0.8611111111,1,1,0,0,0,0,0,0,0,2,1,2,0.05970149254,0.1640337141,0
0,0,0,1,0.04166666667,1,0,2,1,0,0,1,0,1,0,1,2,0.460199005,0.02042649226,0
0,1,0,0,0.7777777778,1,1,1,1,1,1,0,1,1,1,0,0,0.9179104478,0.7069247421,0
0,0,0,0,0.6388888889,1,0,2,0,0,0,0,0,1,1,0,3,0.3721393035,0.309604136,0
0,0,1,1,0.1111111111,1,0,2,1,1,0,0,0,0,0,0,1,0.3621890547,0.05552804901,0
1,1,0,0,0.4166666667,1,0,2,1,1,0,0,1,1,0,1,0,0.5621890547,0.2431028924,0
0,0,1,1,0.625,1,1,0,0,0,0,0,0,0,1,1,3,0.07611940299,0.1400838246,0
0,0,0,1,0.01388888889,1,0,1,0,0,0,0,1,0,0,1,0,0.607960199,0.009136652542,1
0,0,1,1,0.1527777778,0,0,2,1,0,0,0,1,1,0,0,0,0.3213930348,0.06509649042,0
0,0,1,0,0.09722222222,1,0,1,0,0,1,0,0,0,0,1,2,0.5661691542,0.0572149042,1
0,0,0,0,0.5833333333,1,0,1,0,1,1,1,1,1,0,1,2,0.8512437811,0.4982843589,0
0,0,1,0,0.6805555556,1,0,0,0,0,0,0,0,0,2,1,2,0.01890547264,0.1120751197,0
1,0,0,0,0.125,1,1,1,0,1,0,0,1,1,0,1,3,0.8064676617,0.1057882738,0
